0:0:0:0:0:0:0:1 - - [14/Nov/2016:00:48:49 +0530] "GET /Reboot/details/Contact HTTP/1.1" 500 13204
0:0:0:0:0:0:0:1 - - [14/Nov/2016:00:48:54 +0530] "GET /Reboot/details/105 HTTP/1.1" 200 5057
0:0:0:0:0:0:0:1 - - [14/Nov/2016:00:48:54 +0530] "GET /Reboot/images/img11.png HTTP/1.1" 200 50757
0:0:0:0:0:0:0:1 - - [14/Nov/2016:00:48:54 +0530] "GET /Reboot/upload/Hi-Attitude%20Men%20Blue%20Casual%20Shoes.jpg HTTP/1.1" 200 406638
0:0:0:0:0:0:0:1 - - [14/Nov/2016:00:48:57 +0530] "GET /Reboot/details/getAllProduct HTTP/1.1" 500 13204
0:0:0:0:0:0:0:1 - - [14/Nov/2016:00:49:11 +0530] "GET /Reboot/ HTTP/1.1" 200 7815
0:0:0:0:0:0:0:1 - - [14/Nov/2016:00:49:11 +0530] "GET /Reboot/css/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2016:00:49:11 +0530] "GET /Reboot/images/img11.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2016:00:49:11 +0530] "GET /Reboot/images/img.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2016:00:49:11 +0530] "GET /Reboot/images/img2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2016:00:49:11 +0530] "GET /Reboot/images/img3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2016:00:49:11 +0530] "GET /Reboot/images/img5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2016:00:49:11 +0530] "GET /Reboot/images/img6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2016:00:49:11 +0530] "GET /Reboot/images/img7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2016:00:49:11 +0530] "GET /Reboot/images/img8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2016:00:49:11 +0530] "GET /Reboot/images/img9.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2016:00:49:11 +0530] "GET /Reboot/images/img10.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2016:00:49:18 +0530] "GET /Reboot/getAllProduct HTTP/1.1" 200 5158
0:0:0:0:0:0:0:1 - - [14/Nov/2016:00:49:18 +0530] "GET /Reboot/images/img11.png HTTP/1.1" 304 -
127.0.0.1 - - [14/Nov/2016:01:14:20 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [14/Nov/2016:01:14:21 +0530] "GET /Reboot/ HTTP/1.1" 200 7815
0:0:0:0:0:0:0:1 - - [14/Nov/2016:01:14:22 +0530] "GET /Reboot/css/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2016:01:14:22 +0530] "GET /Reboot/images/img.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2016:01:14:22 +0530] "GET /Reboot/images/img11.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2016:01:14:22 +0530] "GET /Reboot/images/img2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2016:01:14:22 +0530] "GET /Reboot/images/img3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2016:01:14:22 +0530] "GET /Reboot/images/img5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2016:01:14:22 +0530] "GET /Reboot/images/img8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2016:01:14:22 +0530] "GET /Reboot/images/img6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2016:01:14:22 +0530] "GET /Reboot/images/img7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2016:01:14:22 +0530] "GET /Reboot/images/img10.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2016:01:14:22 +0530] "GET /Reboot/images/img9.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2016:01:15:09 +0530] "GET /Reboot/ HTTP/1.1" 200 7815
0:0:0:0:0:0:0:1 - - [14/Nov/2016:01:15:10 +0530] "GET /Reboot/css/home.css HTTP/1.1" 200 200
0:0:0:0:0:0:0:1 - - [14/Nov/2016:01:15:10 +0530] "GET /Reboot/images/img.jpg HTTP/1.1" 200 217813
0:0:0:0:0:0:0:1 - - [14/Nov/2016:01:15:10 +0530] "GET /Reboot/images/img11.png HTTP/1.1" 200 50757
0:0:0:0:0:0:0:1 - - [14/Nov/2016:01:15:10 +0530] "GET /Reboot/images/img3.jpg HTTP/1.1" 200 504297
0:0:0:0:0:0:0:1 - - [14/Nov/2016:01:15:10 +0530] "GET /Reboot/images/img2.jpg HTTP/1.1" 200 387236
0:0:0:0:0:0:0:1 - - [14/Nov/2016:01:15:10 +0530] "GET /Reboot/images/img6.jpg HTTP/1.1" 200 86695
0:0:0:0:0:0:0:1 - - [14/Nov/2016:01:15:10 +0530] "GET /Reboot/images/img5.jpg HTTP/1.1" 200 119507
0:0:0:0:0:0:0:1 - - [14/Nov/2016:01:15:10 +0530] "GET /Reboot/images/img7.jpg HTTP/1.1" 200 357620
0:0:0:0:0:0:0:1 - - [14/Nov/2016:01:15:10 +0530] "GET /Reboot/images/img10.jpg HTTP/1.1" 200 125456
0:0:0:0:0:0:0:1 - - [14/Nov/2016:01:15:10 +0530] "GET /Reboot/images/img9.jpg HTTP/1.1" 200 646039
0:0:0:0:0:0:0:1 - - [14/Nov/2016:01:15:10 +0530] "GET /Reboot/images/img8.jpg HTTP/1.1" 200 227775
0:0:0:0:0:0:0:1 - - [14/Nov/2016:01:15:15 +0530] "GET /Reboot/getAllProduct HTTP/1.1" 200 5158
0:0:0:0:0:0:0:1 - - [14/Nov/2016:01:15:15 +0530] "GET /Reboot/images/img11.png HTTP/1.1" 200 50757
0:0:0:0:0:0:0:1 - - [14/Nov/2016:01:24:29 +0530] "GET /Reboot/Login HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [14/Nov/2016:01:24:33 +0530] "GET /Reboot/getAllProduct HTTP/1.1" 404 992
127.0.0.1 - - [14/Nov/2016:01:24:58 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [14/Nov/2016:01:24:59 +0530] "GET /Reboot/ HTTP/1.1" 200 7815
0:0:0:0:0:0:0:1 - - [14/Nov/2016:01:24:59 +0530] "GET /Reboot/images/img6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2016:01:24:59 +0530] "GET /Reboot/images/img9.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2016:01:24:59 +0530] "GET /Reboot/css/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2016:01:24:59 +0530] "GET /Reboot/images/img.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2016:01:24:59 +0530] "GET /Reboot/images/img3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2016:01:24:59 +0530] "GET /Reboot/images/img7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2016:01:24:59 +0530] "GET /Reboot/images/img8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2016:01:24:59 +0530] "GET /Reboot/images/img2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2016:01:24:59 +0530] "GET /Reboot/images/img11.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2016:01:24:59 +0530] "GET /Reboot/images/img10.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2016:01:24:59 +0530] "GET /Reboot/images/img5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2016:01:25:07 +0530] "GET /Reboot/ HTTP/1.1" 200 7815
0:0:0:0:0:0:0:1 - - [14/Nov/2016:01:25:08 +0530] "GET /Reboot/css/home.css HTTP/1.1" 200 200
0:0:0:0:0:0:0:1 - - [14/Nov/2016:01:25:08 +0530] "GET /Reboot/images/img3.jpg HTTP/1.1" 200 504297
0:0:0:0:0:0:0:1 - - [14/Nov/2016:01:25:08 +0530] "GET /Reboot/images/img6.jpg HTTP/1.1" 200 86695
0:0:0:0:0:0:0:1 - - [14/Nov/2016:01:25:08 +0530] "GET /Reboot/images/img.jpg HTTP/1.1" 200 217813
